Nombre_folder,Nombre
Almeja,Almeja
Baqueta,Baqueta
Baya,Baya
Bayas,Baya
Botete,Botete
Cabicucho,Cabicucho
Caballo,Caballo
Cabrilla_sardinera,Cabrilla_sardinera
Cabrilla,Cabrilla
Cabrilla_verde,Cabrilla_verde
Callo_escarlopa,Callo_escarlopa
Callo_redondo,Callo_redondo
Callo_rinon,Callo_rinon
Camaron_azul,Camaron_azul
Caracol_chino_rosa,Caracol_chino_rosa
Caracol_negro,Caracol_chino_negro
Cazon,Cazon
Cazon_dienton,Cazon_dienton
Cazon_izala,Cazon
Cazon_mamon,Cazon_mamon
Chano,Chano
Chivato,Chivato
Cochito,Cochito
Cornuda,Cornuda
Corvina,Curvina
Curvina,Curvina
Cubana,Cubana
Extranjero,Extranjero
Guitarra,Guitarra
Jaiba,Jaiba
Jurel,Jurel
Langosta,Langosta
Lenguado,Lenguado
Lisa,Lisa
Manta,Manta
Manta_arenera,Manta_arenera
Manta_mariposa,Manta_mariposa
Manta_tecolote,Manta_tecolote
Medusa_bola_canon,Medusa_bola_canon
Merluza,Merluza
Pargo,Pargo
Parco_coconaco,Pargo_coconaco
Pargos,Pargo
Payaso,Payaso
Pepino_arenero,Pepino_arenero
Pepino,Pepino
Perro,Perro
Pescada,Pescada
Pescado,Pescada
Pierna,Pierna
Pintas,Pinta
Pinta,Pinta
Pulpo,Pulpo
Sierra,Sierra
Tiburon,Tiburon
Tiburon_grande,Tiburon_grande
Tiburon_chango,Tiburon_chango
Tripa,Tripa
