Nombre_folder	Nombre
Almeja	Almeja
Baqueta	Baqueta
Baya	Baya
Bayas	Baya
Botete	Botete
Cabicucho	Cabicucho
Caballo	Caballo
Cabrilla_sardinera	Cabrilla sardinera
Cabrilla	Cabrilla
Cabrilla_verde	Cabrilla verde
Callo_escarlopa	Callo escarlopa
Callo_redondo	Callo redondo
Callo_riñón	Callo rinon
Camaron_azul	Camaron azul
Caracol_chino_rosa	Caracol chino rosa
Caracol_negro	Caracol chino negro
Cazon	Cazon
Cazon_dienton	Cazon dienton
Cazon_izala	Cazon
Cazon_mamon	Cazon mamon
Chano	Chano
Chivato	Chivato
Cochito	Cochito
Cornuda	Cornuda
Corvina	Curvina
Curvina	Curvina
Cubana	Cubana
Extranjero	Extranjero
Guitarra	Guitarra
Jaiba	Jaiba
Jurel	Jurel
Langosta	Langosta
Lenguado	Lenguado
Lisa	Lisa
Manta	Manta
Manta_arenera	Manta arenera
Manta_mariposa	Manta mariposa
Manta_tecolote	Manta tecolote
Medusa_bola_cañon	Medusa bola cañon
Merluza	Merluza
Pargo	Pargo
Parco_coconaco	Pargo coconaco
Pargos	Pargo
Payaso	Payaso
Pepino_arenero	Pepino arenero
Pepino	Pepino
Perro	Perro
Pescada	Pescada
Pescado	Pescada
Pierna	Pierna
Pintas	Pinta
Pinta	Pinta
Pulpo	Pulpo
Sierra	Sierra
Tiburon	Tiburon
Tiburon_grande	Tiburon grande
Tiburon_chango	Tiburon chango
Tripa	Tripa
